Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.1725,0.059170124,149.733886261748,169.24348819283915,4.003928397590733e-08,165.42036271680664,1.7746772792769635e-08,0.0022401471381864615,1.4080918796081541e-12,0.0021974508825466023,7.117393408356124e-13,0.0010767751955829102,1.8195973968633685e-14,0.0009591861041139643,3.3423963476581996e-14
0.1665,0.057112033,149.73582578332173,171.25262613934692,3.787061818004542e-08,165.41907953417558,1.732846532928698e-08,0.002270629833871378,1.3226553500023435e-12,0.002196817445239591,6.849090564655012e-13,0.0010761439691718928,3.0032260515635734e-14,0.0009591541603361465,3.4073102401539506e-14
0.1635,0.056082988,149.73695435484316,170.32429240070363,3.857363237383376e-08,165.41954849609908,1.8266043062238436e-08,0.00225863764845644,1.4933538435240532e-12,0.0021966287518465797,7.22091091045374e-13,0.0010761738711655088,1.9265123903011805e-14,0.0009591406839574311,3.5164755044503406e-14
0.1605,0.055053942,149.738186335762,169.96205621579998,3.743358254706947e-08,165.41976943765954,1.711661017946185e-08,0.002253199769080788,1.2591990175326207e-12,0.0021963577094485814,6.928727202146977e-13,0.001075803214708134,2.1549011862802755e-14,0.0009591299635102702,3.3474187731398326e-14
0.1575,0.054024896,149.7393817209761,169.5906376364935,4.6548297709499374e-08,165.4203517109096,1.8911772392338208e-08,0.0022480757744650108,1.511916570332451e-12,0.002196168767760187,7.534654986695628e-13,0.0010754148633119582,2.4018111957347926e-14,0.0009591202500784443,3.601309417719593e-14
0.1485,0.050937759,149.7431910713183,168.057487042723,4.409061948743221e-08,165.42359163632796,1.831603645131431e-08,0.0022267960171539858,1.6749521029157196e-12,0.0021958070757692122,7.45921607042428e-13,0.0010736992209945697,1.654858801498592e-14,0.0009590978087574835,3.238176454545202e-14
0.1455,0.049908714,149.74411330135808,167.21195241104616,3.996632927007149e-08,165.4258218987993,1.7135463045513247e-08,0.002220331275147363,1.2480550368268594e-12,0.002195909481430777,6.686698249019525e-13,0.001072806491216258,2.5984404311892794e-14,0.0009591459349549024,3.3694810973017124e-14
0.1335,0.045792531,149.74976931554505,165.84068505340358,4.306103374622255e-08,165.43351732390303,1.9319774687033325e-08,0.0021982874389170817,1.5362003889132236e-12,0.00219583262598444,8.016529151364485e-13,0.0010715553610519354,2.984838955575846e-14,0.0009591216684772051,3.646084154116431e-14
0.1155,0.039618257,149.76006243764462,164.54769163785315,4.590727306387078e-08,165.4493907884659,2.1337526170387113e-08,0.0021793522542458473,1.688822365826699e-12,0.002195989998795153,8.399683894458372e-13,0.0010703347826904561,2.0331875441424667e-14,0.0009591455826816612,3.7418376549832733e-14
0.1095,0.037560166,149.76261820102889,161.79993699068052,4.969105025787287e-08,165.45283551378424,1.8425788723827308e-08,0.002141021007577271,1.6943250282658388e-12,0.002196000827762675,7.536778549074091e-13,0.0010693340962800826,2.5256091499301184e-14,0.0009591569181927217,3.5492518315970356e-14
